2024-08-15 21:50:20,935:INFO:Starting data pipeline...
2024-08-15 21:50:20,936:INFO:Extracting data...
2024-08-15 21:50:23,022:INFO:Transforming data...
2024-08-15 21:50:23,042:INFO:Training and saving model...
2024-08-15 21:50:23,188:INFO:Evaluating model...
2024-08-15 21:50:23,224:INFO:Visualizing data...
2024-08-15 21:50:23,311:DEBUG:Loaded backend macosx version unknown.
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/System/Library/Fonts/Supplemental/Corsiva.ttc', name='Corsiva Hebrew', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/System/Library/Fonts/Supplemental/Al Tarikh.ttc', name='Al Tarikh', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/System/Library/Fonts/Supplemental/SukhumvitSet.ttc', name='Sukhumvit Set', style='normal', variant='normal', weight=250, stretch='normal', size='scalable')) = 10.1925
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/System/Library/Fonts/SFCompactRounded.ttf', name='.SF Compact Rounded', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/System/Library/Fonts/Supplemental/NotoSansMasaramGondi-Regular.otf', name='Noto Sans Masaram Gondi', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/System/Library/Fonts/Supplemental/Baghdad.ttc', name='Baghdad', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/System/Library/Fonts/Supplemental/NotoSansOldSouthArabian-Regular.ttf', name='Noto Sans Old South Arabian', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/System/Library/Fonts/Supplemental/Academy Engraved LET Fonts.ttf', name='Academy Engraved LET', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/System/Library/Fonts/SFHebrewRounded.ttf', name='.SF Hebrew Rounded', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/System/Library/Fonts/Supplemental/PartyLET-plain.ttf', name='Party LET', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/System/Library/Fonts/Supplemental/NotoSansTaiLe-Regular.ttf', name='Noto Sans Tai Le', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/System/Library/Fonts/Supplemental/Verdana.ttf', name='Verdana', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 3.6863636363636365
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/System/Library/Fonts/Supplemental/NotoSansMandaic-Regular.ttf', name='Noto Sans Mandaic', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/System/Library/Fonts/SFCompact.ttf', name='.SF Compact', style='normal', variant='normal', weight=1000, stretch='normal', size='scalable')) = 10.62
